item	Cond	font_size	line_length	Line1	Line2	Whole_sentence
88	2	0,394	16	The lawyer kept changing the topic in the	hope that the incriminating evidence would go unnoticed.	The lawyer kept changing the topic in the hope that the incriminating evidence would go unnoticed.
88	3	0,295	26	The expert lawyer could not deal with the situation, so he kept changing the topic in the	hope that the incriminating evidence would go unnoticed.	The expert lawyer could not deal with the situation, so he kept changing the topic in the hope that the incriminating evidence would go unnoticed.
88	4	0,394	26	The expert criminal defence lawyer kept changing the topic in the	hope that the incriminating evidence would go unnoticed.	The expert criminal defence lawyer kept changing the topic in the hope that the incriminating evidence would go unnoticed.
89	1	0,295	16	When the three friends reached the cabin, they sat on	the bench overlooking the thick forest.	When the three friends reached the cabin, they sat on the bench overlooking the thick forest.
89	2	0,394	16	When they reached the cabin, they sat on	the bench overlooking the thick forest.	When they reached the cabin, they sat on the bench overlooking the thick forest.
89	3	0,295	26	When the group of men and women eventually reached the deserted wooden cabin, they sat on	the bench overlooking the thick forest.	When the group of men and women eventually reached the deserted wooden cabin, they sat on the bench overlooking the thick forest.
89	4	0,394	26	When the group of friends eventually reached the cabin, they sat on	the bench overlooking the thick forest.	When the group of friends eventually reached the cabin, they sat on the bench overlooking the thick forest.
90	1	0,295	16	After Bella and Tom exchanged a few words of agreement	about the contract, she handed over 50 pounds to him.	After Bella and Tom exchanged a few words of agreement about the contract, she handed over 50 pounds to him.
90	2	0,394	16	After exchanging a few words of agreement	about the contract, she handed over 50 pounds to him.	After exchanging a few words of agreement about the contract, she handed over 50 pounds to him.
90	3	0,295	26	After Isabella reluctantly agreed to meet Timothy and exchanged a few words of agreement	about the contract, she handed over 50 pounds to him.	After Isabella reluctantly agreed to meet Timothy and exchanged a few words of agreement about the contract, she handed over 50 pounds to him.
90	4	0,394	26	After Isabella had reluctantly exchanged a few words of agreement	about the contract, she handed over 50 pounds to him.	After Isabella had reluctantly exchanged a few words of agreement about the contract, she handed over 50 pounds to him.
91	1	0,295	16	The new cleaning maid had left the back door unlocked	as she went out to throw away the rubbish.	The new cleaning maid had left the back door unlocked as she went out to throw away the rubbish.
91	2	0,394	16	The maid had left the back door unlocked	as she went out to throw away the rubbish.	The maid had left the back door unlocked as she went out to throw away the rubbish.
91	3	0,295	26	The old and careless housekeeper, who was recently hired, had left the back door unlocked	as she went out to throw away the rubbish.	The old and careless housekeeper, who was recently hired, had left the back door unlocked as she went out to throw away the rubbish.
91	4	0,394	26	The young and careless housekeeper had left the back door unlocked	as she went out to throw away the rubbish.	The young and careless housekeeper had left the back door unlocked as she went out to throw away the rubbish.
92	1	0,295	16	The attending doctor held his metal pen torch close to	the patient's face to test her pupillary responses.	The attending doctor held his metal pen torch close to the patient's face to test her pupillary responses.
92	2	0,394	16	The clinician held his pen torch close to	the patient's face to test her pupillary responses.	The clinician held his pen torch close to the patient's face to test her pupillary responses.
92	3	0,295	26	The medical student, who was doing rounds that morning, held his metal pen torch close to	the patient's face to test her pupillary responses.	The medical student, who was doing rounds that morning, held his metal pen torch close to the patient's face to test her pupillary responses.
92	4	0,394	26	The inexperienced medical student held his metal pen torch close to	the patient's face to test her pupillary responses.	The inexperienced medical student held his metal pen torch close to the patient's face to test her pupillary responses.
93	1	0,295	16	Ed rose up meekly and quietly to follow his new tutor	who had just come from a neighbouring town.	Ed rose up meekly and quietly to follow his new tutor who had just come from a neighbouring town.
93	2	0,394	16	Ed rose up meekly to follow his new tutor	who had just come from a neighbouring town.	Ed rose up meekly to follow his new tutor who had just come from a neighbouring town.
93	3	0,295	26	Ed rose up confidently and quietly from the polished wooden bench to follow his new tutor	who had just come from a neighbouring town.	Ed rose up confidently and quietly from the polished wooden bench to follow his new tutor who had just come from a neighbouring town.
93	4	0,394	26	Ed rose up quietly from the polished bench to follow his new tutor	who had just come from a neighbouring town.	Ed rose up quietly from the polished bench to follow his new tutor who had just come from a neighbouring town.
94	1	0,295	16	He assured them one more time that he had no intention	of running off before the end of the presentation.	He assured them one more time that he had no intention of running off before the end of the presentation.
94	2	0,394	16	He assured them that he had no intention	of running off before the end of the presentation.	He assured them that he had no intention of running off before the end of the presentation.
94	3	0,295	26	He assured his audience one more time in a soft and gentle voice that he had no intention	of running off before the end of the presentation.	He assured his audience one more time in a soft and gentle voice that he had no intention of running off before the end of the presentation.
94	4	0,394	26	He repeated again in a very gentle voice that he had no intention	of running off before the end of the presentation.	He repeated again in a very gentle voice that he had no intention of running off before the end of the presentation.
95	1	0,295	16	The three enthusiastic school children stared with awe	at the aesthetically pleasing painting.	The three enthusiastic school children stared with awe at the aesthetically pleasing painting.
95	2	0,394	16	The three school children stared with awe	at the aesthetically pleasing painting.	The three school children stared with awe at the aesthetically pleasing painting.
95	3	0,295	26	The teacher was explaining something about art while the school children stared with awe	at the aesthetically pleasing painting.	The teacher was explaining something about art while the school children stared with awe at the aesthetically pleasing painting.
95	4	0,394	26	The teacher was talking while the school children stared with awe	at the aesthetically pleasing painting.	The teacher was talking while the school children stared with awe at the aesthetically pleasing painting.
96	1	0,295	16	The newly employed waitress was very smart in attending	to the customers at the five-star restaurant.	The newly employed waitress was very smart in attending to the customers at the five-star restaurant.
96	2	0,394	16	The waitress was very smart in attending	to the customers at the five-star restaurant.	The waitress was very smart in attending to the customers at the five-star restaurant.
96	3	0,295	26	The newly employed waitress and her experienced colleagues were very smart in attending	to the customers at the five-star restaurant.	The newly employed waitress and her experienced colleagues were very smart in attending to the customers at the five-star restaurant.
96	4	0,394	26	The waitress and her three colleagues were very smart in attending	to the customers at the five-star restaurant.	The waitress and her three colleagues were very smart in attending to the customers at the five-star restaurant.
97	1	0,295	16	Anna Lee, who turned 5, learned the letters very easily	and was quickly able to start reading fluently.	Anna Lee, who turned 5, learned the letters very easily and was quickly able to start reading fluently.
97	2	0,394	16	Anna Lee learned the letters very easily	and was quickly able to start reading fluently.	Anna Lee learned the letters very easily and was quickly able to start reading fluently.
97	3	0,295	26	Anna Lee, who had just started attending primary school, learned the letters very easily	and was quickly able to start reading fluently.	Anna Lee, who had just started attending primary school, learned the letters very easily and was quickly able to start reading fluently.
97	4	0,394	26	Anna Lee, who had just turned five, learned the letters very easily	and was quickly able to start reading fluently.	Anna Lee, who had just turned five, learned the letters very easily and was quickly able to start reading fluently.
98	1	0,295	16	Instead of tidying up the bedroom, Al spent the morning	playing games on his new smartphone.	Instead of tidying up the bedroom, Al spent the morning playing games on his new smartphone.
98	2	0,394	16	Instead of cleaning, Al spent the morning	playing games on his new smartphone.	Instead of cleaning, Al spent the morning playing games on his new smartphone.
98	3	0,295	26	Instead of cleaning up after himself and hoovering the two bedrooms, Al spent the morning	playing games on his new smartphone.	Instead of cleaning up after himself and hoovering the two bedrooms, Al spent the morning playing games on his new smartphone.
98	4	0,394	26	Instead of tidying up the two master bedrooms, Al spent the morning	playing games on his new smartphone.	Instead of tidying up the two master bedrooms, Al spent the morning playing games on his new smartphone.
99	1	0,295	16	The light-hearted old sailor was generous to offer free	wine to all guests on his cruise ship.	The light-hearted old sailor was generous to offer free wine to all guests on his cruise ship.
99	2	0,394	16	The old sailor was generous to offer free	wine to all guests on his cruise ship.	The old sailor was generous to offer free wine to all guests on his cruise ship.
99	3	0,295	26	The cheerful sailor, who got married exactly twenty years ago, was generous to offer free	wine to all guests on his cruise ship.	The cheerful sailor, who got married exactly twenty years ago, was generous to offer free wine to all guests on his cruise ship.
99	4	0,394	26	The sailor, who got married a year ago, was generous to offer free	wine to all guests on his cruise ship.	The sailor, who got married a year ago, was generous to offer free wine to all guests on his cruise ship.
100	1	0,295	16	The guests of the hotel were told that dinner will be	served one hour later due to the change in schedule.	The guests of the hotel were told that dinner will be served one hour later due to the change in schedule.
100	2	0,394	16	The guests were told that dinner will be	served one hour later due to the change in schedule.	The guests were told that dinner will be served one hour later due to the change in schedule.
100	3	0,295	26	The guests of the hotel were visibly disappointed when they were told that dinner will be	served one hour later due to the change in schedule.	The guests of the hotel were visibly disappointed when they were told that dinner will be served one hour later due to the change in schedule.
100	4	0,394	26	The guests were disappointed when they learned that dinner will be	served one hour later due to the change in schedule.	The guests were disappointed when they learned that dinner will be served one hour later due to the change in schedule.
101	9			While Richard drove the sedan, his cousin by marriage Barney drove the	moving truck to their new apartment in Brooklyn.	While Richard drove the sedan, his cousin by marriage Barney drove the moving truck to their new apartment in Brooklyn.
102	9			As the fairly experienced caricaturist drew the child with the big ears,	his parents sat watching nearby.	As the fairly experienced caricaturist drew the child with the big ears, his parents sat watching nearby.
103	9			As the young adventurer swiftly paddled the raft down the stream, he	was looking for a safe place to come ashore.	As the young adventurer swiftly paddled the raft down the stream, he was looking for a safe place to come ashore.
104	10			While Tom grilled the sausages, his wife entertained	the guests with stories of their latest vacation.	While Tom grilled the sausages, his wife entertained the guests with stories of their latest vacation.
105	10			They had taken a trip to the Amazon rainforest and	had seen many wonderful creatures.	They had taken a trip to the Amazon rainforest and had seen many wonderful creatures.
106	10			As Henry whittled the stick for roasting marshmallows,	his father put another log on the campfire.	As Henry whittled the stick for roasting marshmallows, his father put another log on the campfire.
